Data,Total,1. Serviços prestados às famílias,2. Serviços de informação e comunicação,"3. Serviços profissionais, administrativos e complementares","4. Transportes, serviços auxiliares aos transportes e correio",5. Outros serviços
2011-02-01,0.1,0.5,1.3,1.1,0.0,-0.6
2011-03-01,-0.3,0.5,-1.0,0.2,-2.0,0.1
2011-04-01,0.8,3.1,1.7,0.3,0.7,-1.6
2011-05-01,0.5,-1.6,-0.2,0.8,0.6,2.9
2011-06-01,0.0,0.8,0.6,-0.5,-0.4,-2.3
2011-07-01,1.5,2.1,1.7,0.7,0.6,1.5
2011-08-01,-0.3,-2.8,0.5,1.8,-1.2,0.4
2011-09-01,-0.1,0.5,0.9,-0.2,-0.8,-3.9
2011-10-01,-1.2,0.1,-0.4,-2.1,0.2,0.6
2011-11-01,1.6,0.7,-0.1,3.3,0.7,-0.1
2011-12-01,1.3,-1.3,0.2,0.4,4.7,-0.6
2012-01-01,-0.5,0.6,0.3,0.7,-3.7,7.1
2012-02-01,1.1,0.1,-0.6,-0.6,0.2,-4.7
2012-03-01,0.2,0.6,3.0,2.9,2.3,1.5
2012-04-01,-1.1,-1.6,-3.1,-2.4,0.2,-1.1
2012-05-01,1.5,1.6,3.3,0.8,-0.6,1.5
2012-06-01,0.6,1.0,-1.1,0.8,2.4,-0.3
2012-07-01,-0.3,-2.5,1.0,0.0,-2.6,1.3
2012-08-01,1.2,1.7,1.1,-0.2,4.4,-3.8
2012-09-01,-0.3,1.0,-1.0,-1.0,0.5,2.0
2012-10-01,0.4,-1.6,0.7,0.6,2.3,-3.3
2012-11-01,0.1,1.4,1.2,-1.2,-1.8,-2.1
2012-12-01,1.6,-0.1,1.6,2.2,0.5,5.9
2013-01-01,-1.0,-2.7,-0.5,-1.2,0.0,-1.9
2013-02-01,0.6,-1.2,1.0,0.6,0.0,1.6
2013-03-01,0.2,3.9,0.3,-1.3,1.0,-2.6
2013-04-01,1.1,-0.9,1.0,2.0,4.4,0.2
2013-05-01,-0.3,1.1,-0.4,-1.4,-2.5,-1.0
2013-06-01,1.1,-0.9,0.9,0.9,0.0,7.4
2013-07-01,-0.2,1.4,0.5,-0.3,0.2,-8.6
2013-08-01,-0.4,0.0,-0.1,-1.0,0.7,0.3
2013-09-01,0.7,-0.3,1.1,0.3,0.4,2.1
2013-10-01,0.6,0.5,1.3,-1.1,1.8,0.0
2013-11-01,1.0,0.1,0.7,2.2,-0.3,-1.4
2013-12-01,-0.3,-1.4,0.0,-1.8,-1.3,1.0
2014-01-01,0.8,0.4,2.1,1.9,1.9,0.8
2014-02-01,-0.6,-0.2,-1.1,-0.9,1.7,-2.6
2014-03-01,0.2,-1.3,0.5,0.3,-0.4,1.0
2014-04-01,0.2,0.9,-0.3,-1.1,-0.7,2.2
2014-05-01,-0.1,2.0,0.4,0.5,-0.4,-3.4
2014-06-01,-0.9,-5.5,1.1,-0.7,-3.8,1.0
2014-07-01,0.8,-3.0,-1.5,0.5,4.9,-0.7
2014-08-01,-0.2,6.6,-0.3,0.4,-1.6,3.6
2014-09-01,0.7,-1.9,1.2,1.6,0.7,-2.6
2014-10-01,0.4,0.1,1.4,-0.2,-0.2,3.2
2014-11-01,0.6,-1.0,0.6,-1.1,2.1,-4.4
2014-12-01,-2.0,1.8,-4.1,1.6,-4.1,-4.1
2015-01-01,-1.6,-0.9,3.2,-2.0,-3.5,0.1
2015-02-01,0.6,-1.1,1.5,-1.7,0.1,-0.6
2015-03-01,0.6,-2.3,1.7,1.0,3.8,-1.1
2015-04-01,-1.7,-1.1,-3.7,-1.0,-4.0,-1.0
2015-05-01,0.2,0.1,0.4,0.1,1.1,1.3
2015-06-01,-1.4,0.9,-1.4,-1.1,-3.7,-2.1
2015-07-01,-0.7,-3.4,-0.3,-1.4,0.5,-0.8
2015-08-01,0.7,0.3,0.1,-0.7,2.9,-0.6
2015-09-01,-0.7,-0.1,0.2,-2.1,-1.5,0.3
2015-10-01,0.2,2.0,-0.4,1.2,0.6,-0.7
2015-11-01,-1.4,-2.2,-1.5,-1.6,-1.9,-0.2
2015-12-01,-0.3,-0.4,-0.1,-1.0,-1.4,-5.6
2016-01-01,-0.3,2.4,2.1,0.5,-0.8,4.5
2016-02-01,-0.1,2.8,-5.7,1.4,-0.9,-3.8
2016-03-01,0.0,-4.9,4.0,-0.5,0.9,10.8
2016-04-01,-1.1,-0.2,0.2,-0.5,-1.5,-3.7
2016-05-01,-0.5,-2.9,-0.1,-1.1,-1.0,-2.6
2016-06-01,-0.5,-0.8,-0.1,-1.8,-2.0,-1.3
2016-07-01,0.8,1.3,0.7,2.7,0.2,5.7
2016-08-01,-1.6,-0.7,-0.5,-2.5,-2.7,-4.8
2016-09-01,-0.3,-2.0,-0.5,-1.0,1.0,-1.8
2016-10-01,-1.8,0.7,-2.2,0.0,-3.0,0.8
2016-11-01,0.2,-0.5,-1.1,-1.0,1.8,1.6
2016-12-01,-0.5,4.1,-3.2,-1.0,1.9,-2.7
2017-01-01,1.2,-1.1,8.2,-1.7,1.2,-4.6
2017-02-01,0.4,1.1,-0.7,-1.8,2.7,-0.1
2017-03-01,-2.9,-2.2,-2.6,-1.6,-0.2,-1.9
2017-04-01,1.8,-0.3,0.5,0.9,0.1,-3.8
2017-05-01,-0.8,1.6,-1.3,1.2,-0.4,4.0
2017-06-01,1.6,2.7,0.5,0.8,2.2,0.7
2017-07-01,-0.6,-2.3,-0.9,-0.2,-1.5,0.7
2017-08-01,-0.9,-5.3,0.1,-1.5,-0.3,-1.2
2017-09-01,-0.2,6.2,-2.3,-0.2,0.3,2.8
2017-10-01,-0.2,-2.9,0.6,-1.5,-0.2,-0.9
2017-11-01,0.3,0.6,0.6,0.0,0.9,-2.7
2017-12-01,1.6,-0.9,0.0,2.6,1.2,2.6
2018-01-01,-2.1,-0.5,-0.2,-2.6,-2.7,-0.1
2018-02-01,0.4,-0.8,-0.1,0.7,1.2,1.9
2018-03-01,0.5,3.2,2.2,-0.1,0.0,-0.1
2018-04-01,0.4,-0.1,-0.4,0.7,2.4,1.0
2018-05-01,-4.5,-1.0,-1.2,-1.3,-10.9,-5.9
2018-06-01,7.2,0.3,3.8,0.7,17.0,6.9
2018-07-01,-2.9,1.0,-3.3,-0.9,-6.6,-4.5
2018-08-01,1.7,0.5,-0.8,2.5,4.2,1.1
2018-09-01,-0.6,1.1,2.0,-2.2,-1.8,-1.5
2018-10-01,-0.6,-1.3,-1.6,-0.6,-0.9,3.9
2018-11-01,0.2,1.6,0.5,-0.6,0.1,-0.1
2018-12-01,1.2,0.7,1.6,-0.3,-0.1,0.1
2019-01-01,-0.4,0.8,0.5,0.7,-1.9,2.9
2019-02-01,-0.7,-0.8,3.1,0.3,-1.6,-0.9
2019-03-01,-0.5,0.7,-2.8,0.4,0.9,1.4
2019-04-01,0.3,-0.3,0.4,1.2,-2.3,-2.2
2019-05-01,0.4,1.3,1.9,0.8,0.5,2.4
2019-06-01,-0.8,-0.2,-1.6,-1.5,-0.3,-0.2
2019-07-01,1.0,-1.7,0.2,-0.4,0.4,1.5
2019-08-01,0.0,-0.7,1.0,0.4,-0.4,-0.5
2019-09-01,1.0,-0.4,-1.0,1.7,2.6,1.2
2019-10-01,1.4,1.3,1.0,0.5,3.2,-0.9
2019-11-01,-0.2,-0.2,-0.6,0.2,-1.1,3.9
2019-12-01,-0.6,-1.2,0.3,-3.1,-2.8,1.0
2020-01-01,0.6,3.4,0.0,-0.7,1.9,2.3
2020-02-01,0.2,0.6,-2.1,-0.6,0.8,0.4
2020-03-01,-9.0,-33.9,0.0,-5.1,-7.2,-0.5
2020-04-01,-11.0,-45.2,-3.5,-10.0,-18.5,-8.5
2020-05-01,-1.1,12.8,-1.8,-2.0,3.3,-4.1
2020-06-01,4.4,11.6,2.8,0.9,5.3,6.2
2020-07-01,2.6,-9.2,1.6,2.7,2.3,4.1
2020-08-01,3.1,34.0,-0.3,1.9,4.8,3.6
2020-09-01,3.0,11.8,1.5,0.6,3.1,4.8
2020-10-01,2.4,8.8,2.5,2.5,3.7,-2.0
2020-11-01,1.5,5.8,-0.1,2.3,1.4,1.4
2020-12-01,0.3,-3.1,1.1,-1.8,-1.6,1.3
2021-01-01,1.6,1.7,1.1,3.5,4.1,-5.9
2021-02-01,2.8,5.9,1.5,3.2,4.8,5.1
2021-03-01,-4.8,-26.0,-0.3,-3.3,-2.8,0.5
2021-04-01,2.6,5.2,3.1,1.1,-1.6,2.1
2021-05-01,2.0,17.9,-0.7,1.7,5.7,-0.3
2021-06-01,2.5,8.1,2.4,0.9,1.1,0.4
2021-07-01,0.6,2.6,-0.7,2.3,-0.9,1.1
2021-08-01,0.5,3.5,1.2,-1.8,0.8,1.2
2021-09-01,-0.7,3.7,-1.3,-0.6,-0.9,-5.6
2021-10-01,-0.5,4.3,-0.7,-1.2,1.4,-5.4
2021-11-01,2.7,1.9,3.4,0.6,2.1,2.0
2021-12-01,2.3,-0.2,1.2,3.4,1.8,0.9
2022-01-01,-1.1,-0.7,-3.6,0.2,2.0,0.1
2022-02-01,0.4,0.8,-1.2,2.8,2.4,-1.1
2022-03-01,0.6,3.5,1.1,-0.1,3.5,1.4
2022-04-01,0.5,3.1,1.2,0.2,-3.4,-2.6
2022-05-01,0.6,1.2,1.0,1.8,0.4,2.7
2022-06-01,0.4,-1.0,-0.6,0.2,0.4,0.9
2022-07-01,1.1,1.2,0.9,-0.4,3.1,-5.7
2022-08-01,1.6,1.9,1.4,-0.3,1.2,9.4
2022-09-01,0.7,-0.2,2.0,0.4,-0.5,-3.7
2022-10-01,-0.1,-0.2,1.6,-0.4,-1.2,2.8
2022-11-01,-0.3,-1.9,-1.6,-0.5,0.6,-3.9
2022-12-01,2.6,1.6,-1.3,5.1,2.7,12.3
2023-01-01,-3.8,1.3,-0.6,-3.3,-5.6,-10.8
2023-02-01,1.4,-1.3,2.0,0.1,4.3,0.9
2023-03-01,1.3,-1.9,0.5,2.4,5.4,-0.5
2023-04-01,-1.8,2.8,-0.8,0.2,-7.7,-1.8
2023-05-01,1.7,0.1,1.5,-0.1,3.8,1.5
2023-06-01,0.0,1.6,0.1,0.6,-1.0,-0.2
2023-07-01,0.5,1.9,-0.6,-0.4,1.0,0.1
2023-08-01,-0.2,-4.2,-0.3,5.0,-2.2,-1.8
2023-09-01,-0.4,3.0,-0.6,-1.7,-0.4,-0.4
2023-10-01,-0.3,-1.7,1.0,1.6,-1.9,0.4
2023-11-01,1.0,2.9,0.9,1.7,-1.0,5.0
2023-12-01,0.5,4.1,0.8,-1.4,1.0,-1.6
2024-01-01,0.6,-3.1,1.2,1.6,0.1,-0.8
2024-02-01,-0.4,0.3,-2.8,-1.1,-0.6,0.0
2024-03-01,0.3,0.6,4.7,3.2,0.6,-0.1
2024-04-01,0.2,-3.4,0.3,-1.9,1.8,2.7
2024-05-01,-0.4,3.3,-1.0,-0.4,-1.5,-2.2
2024-06-01,1.4,0.5,1.5,1.7,1.7,-0.2
2024-07-01,0.3,0.2,2.3,-0.3,-1.5,0.2
